,Close,Compound,Negative,Neutral,Positive,Open,High,Low,Volume
2017-07-11,740.159058,-0.9999,0.133,0.786,0.081,743.45282,745.136841,736.518555,9689441.0
2017-07-12,748.455383,-1.0,0.167,0.752,0.081,742.660339,755.340149,741.719238,7893715.0
2017-07-13,753.9037480000002,-0.9999,0.136,0.781,0.083,747.291443,755.340149,746.003601,10619232.0
2017-07-14,759.674072,-0.9999,0.134,0.786,0.08,752.863586,760.788513,750.659485,9474992.0
2017-07-17,768.589539,-0.9997,0.125,0.78,0.095,761.283813,772.477661,761.283813,8652868.0
2017-07-18,752.814087,-0.9997,0.11,0.817,0.074,766.137756,768.614319,748.405884,9063934.0
2017-07-19,759.277832,-0.9999,0.141,0.771,0.088,749.198364,761.7791139999998,749.198364,5441174.0
2017-07-20,757.27179,-0.9998,0.139,0.769,0.092,762.645874,767.7227780000002,754.696228,6288420.0
2017-07-21,785.058411,-0.9912,0.097,0.81,0.093,767.7227780000002,788.3769530000002,765.221436,44831188.0
2017-07-24,800.041382,-0.9999,0.135,0.774,0.091,792.487976,804.821106,785.058411,20042658.0
2017-07-25,793.552917,-0.9999,0.148,0.755,0.096,804.722046,804.8458860000002,791.299255,9259100.0
2017-07-26,803.756165,-0.9999,0.135,0.78,0.085,794.568298,807.2976070000002,793.032837,10131916.0
2017-07-27,789.912415,-0.9998,0.141,0.749,0.111,806.356567,808.090088,786.717712,8495918.0
2017-07-28,789.739075,-0.999,0.125,0.763,0.113,788.1541139999998,795.435059,781.591309,6614152.0
2017-07-31,800.016663,0.9986,0.109,0.765,0.126,793.4538570000002,801.799744,790.506775,7645862.0
2017-08-01,794.271118,-0.9997,0.129,0.769,0.102,803.756165,803.756165,788.277893,5681949.0
2017-08-02,806.950928,-0.9999,0.144,0.756,0.1,797.44104,810.17041,796.5,9592846.0
2017-08-03,817.3027950000002,-0.9992,0.132,0.75,0.117,805.786926,824.633301,800.932983,9094953.0
2017-08-04,803.458984,-0.9998,0.135,0.766,0.1,823.6922,823.6922,799.967102,8574605.0
2017-08-07,800.586243,-0.9983,0.117,0.775,0.108,808.1396480000002,808.1396480000002,798.7041019999998,4401364.0
2017-08-08,793.751038,-0.9992,0.123,0.772,0.105,801.403503,802.914185,785.9499509999998,5058636.0
2017-08-09,791.8936160000002,-0.9997,0.134,0.764,0.102,793.230957,802.394104,785.058411,4816513.0
2017-08-10,784.7365110000002,-0.9998,0.137,0.764,0.098,789.045654,795.781799,781.5665280000002,4701836.0
2017-08-11,765.8653559999998,-0.9999,0.151,0.755,0.094,768.193298,782.581909,759.302551,7843781.0
2017-08-14,779.1395259999998,-0.999,0.122,0.773,0.104,773.1710820000002,784.810791,773.1710820000002,6202842.0
2017-08-16,775.6971440000002,0.9996,0.088,0.797,0.115,778.619446,780.600708,767.821838,6265622.0
2017-08-17,776.192444,-0.9999,0.146,0.758,0.096,777.133545,791.324036,773.245422,7304951.0
2017-08-18,780.303528,-0.9997,0.116,0.803,0.081,774.6570429999998,781.492249,769.282959,3662412.0
2017-08-21,774.855164,-0.9992,0.11,0.804,0.087,781.096008,784.6374509999998,772.799622,3495195.0
2017-08-22,772.700562,-0.9997,0.126,0.775,0.098,778.619446,782.5323490000002,770.7193599999998,4399773.0
2017-08-23,783.59729,-0.9997,0.126,0.778,0.097,775.0780639999998,785.8261719999998,769.282959,3839702.0
2017-08-24,776.663025,-0.9996,0.123,0.781,0.096,787.534973,789.070374,774.904663,5839979.0
2017-08-28,775.9200440000002,-0.9998,0.137,0.771,0.093,782.1113889999998,783.547729,773.270142,5684028.0
2017-08-29,758.881531,-0.9997,0.13,0.769,0.101,773.592102,776.3905639999998,757.81665,6998558.0
2017-08-30,774.706543,-0.9998,0.141,0.758,0.101,766.509277,777.034485,763.388855,4769560.0
2017-08-31,789.763855,-0.9998,0.135,0.761,0.104,780.105408,791.224976,779.610046,11585780.0
